,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,movies,,
,,,,
,,,,
,,,,
,,,,Comedy
,Saving Private Ryan (1998),,,
,The Lord of the Rings: The Return of the King (2003),,,
,Embrace Of The Serpent (El Abrazo De La Serpiente) (2016),,,
Animation,,,,
,Inside Out (2015),,,
,Coco (2017),,,
,Paddington 2 (2018),,,
,Incredibles 2 (2018),,,
,Snow White and the Seven Dwarfs (1937),,,
,Toy Story 2 (1999),,,
,Zootopia (2016),,,
,Up (2009),,,
,Toy Story 3 (2010),,,
,Finding Nemo (2003),,,
,Pinocchio (1940),,,
,Finding Dory (2016),,,
,Toy Story (1995),,,
,The LEGO Movie (2014),,,
,WALL-E (2008),,,
,Moana (2016),,,
,Kubo and the Two Strings (2016),,,
,Shaun the Sheep Movie (2015),,,
,Ratatouille (2007),,,
,Only Yesterday (1991),,,
,How to Train Your Dragon (2010),,,
,Isle of Dogs (2018),,,
,The Incredibles (2004),,,
,Yellow Submarine (1968),,,
,Beauty and the Beast (1991),,,
,Chicken Run (2000),,,
,My Life as a Zucchini (Ma vie de courgette) (2017),,,
,101 Dalmatians (1961),,,
,The Nightmare Before Christmas (1993),,,
,Fantasia (1940),,,
,"Monsters, Inc. (2001)",,,
,The Lego Batman Movie (2017),,,
,The Iron Giant (1999),,,
,Spirited Away (2002),,,
,Tower (2016),,,
,Song Of The Sea (2014),,,
,Who Framed Roger Rabbit (1988),,,
,Anomalisa (2015),,,
,The Lion King (1994),,,
,Your Name. (Kimi No Na Wa.) (2017),,,
,Waltz with Bashir (2008),,,
,Persepolis (2007),,,
,Wallace & Gromit: The Curse of the Were-Rabbit (2005),,,
,The Secret World of Arrietty (2012),,,
,Ernest & CÃ©lestine (2014),,,
,The Red Turtle (La tortue rouge) (2017),,,
,Long Way North (Tout en haut du monde) (2016),,,
,Aladdin (1992),,,
,Fantastic Mr. Fox (2009),,,
,Frozen (2013),,,
,The Breadwinner (2017),,,
,Ghost in the Shell (1996),,,
,Coraline (2009),,,
,Lady and the Tramp (1955),,,
,Antz (1998),,,
,The Triplets of Belleville (2003),,,
,How to Train Your Dragon 2 (2014),,,
,Bambi (1942),,,
,My Neighbor Totoro (1988),,,
,Big Hero 6 (2014),,,
,The Little Mermaid (1989),,,
,A Bug's Life (1998),,,
,Princess Mononoke (Mononoke-hime) (1999),,,
,Arthur Christmas (2011),,,
,Mary and Max (2009),,,
,James and the Giant Peach (1996),,,
,Teen Titans Go! To the Movies (2018),,,
,Ponyo (2009),,,
,Shrek 2 (2004),,,
,Bolt (2008),,,
,Tangled (2010),,,
,The Simpsons Movie (2007),,,
,Shrek (2001),,,
,Frankenweenie (2012),,,
,The Wind Rises (2014),,,
,Boy and the World (O Menino e o Mundo) (2015),,,
,Winnie the Pooh (2011),,,
,Rango (2011),,,
,The Illusionist (L'illusionniste) (2010),,,
,ParaNorman (2012),,,
,The Peanuts Movie (2015),,,
,Kung Fu Panda (2008),,,
,Wreck-it Ralph (2012),,,
,Millennium Actress (Sennen joyÃ») (2001),,,
,When Marnie Was There (2015),,,
,The Secret of Kells (2010),,,
,Howl's Moving Castle (2005),,,
,Tarzan (1999),,,
